Taxonomic rank	region	name	sample_sum	abundance	observation_name	sample	n
Domain	16S	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv	9.0	0.04568296025582458	1	DAK_16S_3_L3	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv
Family	16S	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv	1070.0	5.431196385970256	34	DAK_16S_3_L3	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv
Genus	16S	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv	8661.0	43.96223541952185	245	DAK_16S_3_L3	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv
Order	16S	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv	15.0	0.07613826709304096	6	DAK_16S_3_L3	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv
Species	16S	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv	9663.0	49.04827166133699	129	DAK_16S_3_L3	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv
weak affiliation	16S	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv	283.0	1.4364753058220394	42	DAK_16S_3_L3	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv
Domain	16S	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv	0.0	0.0	1	DAK_16S_4_L5	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv
Family	16S	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv	987.0	4.30327868852459	34	DAK_16S_4_L5	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv
Genus	16S	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv	14621.0	63.74694802929892	245	DAK_16S_4_L5	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv
Order	16S	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv	1.0	0.004359958144401814	6	DAK_16S_4_L5	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv
Species	16S	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv	6449.0	28.117370073247297	129	DAK_16S_4_L5	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv
weak affiliation	16S	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv	878.0	3.8280432507847926	42	DAK_16S_4_L5	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv
Domain	16S	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv	0.0	0.0	1	DAK_16S_5_L5	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv
Family	16S	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv	4887.0	33.58993745274589	34	DAK_16S_5_L5	/home/gpascal/work/RPOB/RESULTS97perc/Larvae_16S_affi_tables_merged.tsv
