Taxonomic rank	region	name	sample_sum	abundance	observation_name	sample	n
Family	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv	0.0	0.0	2	D_rpoB_Mock1	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv
Genus	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv	363.0	1.5024834437086094	2	D_rpoB_Mock1	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv
Species	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv	20536.0	85.0	134	D_rpoB_Mock1	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv
weak affiliation	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv	3261.0	13.49751655629139	58	D_rpoB_Mock1	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv
Family	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv	0.0	0.0	2	D_rpoB_Mock2	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv
Genus	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv	204.0	0.5431165304438114	2	D_rpoB_Mock2	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv
Species	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv	35864.0	95.48201592076889	134	D_rpoB_Mock2	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv
weak affiliation	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv	1493.0	3.974867548787306	58	D_rpoB_Mock2	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv
Family	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv	0.0	0.0	2	D_rpoB_Mock3	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv
Genus	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv	497.0	2.899649941656943	2	D_rpoB_Mock3	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv
Species	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv	12259.0	71.52275379229872	134	D_rpoB_Mock3	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv
weak affiliation	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv	4384.0	25.577596266044342	58	D_rpoB_Mock3	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv
Family	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv	0.0	0.0	2	D_rpoB_Mock4	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv
Genus	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv	455.0	2.9989454257843393	2	D_rpoB_Mock4	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv
Species	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv	10410.0	68.61323490640653	134	D_rpoB_Mock4	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv
weak affiliation	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv	4307.0	28.387819667809122	58	D_rpoB_Mock4	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv
Family	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv	0.0	0.0	2	D_rpoB_Mock5M_rep1	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv
Genus	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv	305.0	7.555115184542977	2	D_rpoB_Mock5M_rep1	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv
Species	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv	2990.0	74.0648996779787	134	D_rpoB_Mock5M_rep1	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv
weak affiliation	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv	742.0	18.379985137478325	58	D_rpoB_Mock5M_rep1	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv
Family	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv	0.0	0.0	2	D_rpoB_Mock5M_rep2	/home/gpascal/work/RPOB/RESULTS97perc/Mock_rpoB_affi_tables_merged.tsv
