Taxonomic rank	region	name	sample_sum	abundance	observation_name	sample	n
Class	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	0.0	0.0	1	OS_16S_DAK_rep1	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Family	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	4386.0	47.85075278202051	18	OS_16S_DAK_rep1	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Genus	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	4732.0	51.62557276892865	107	OS_16S_DAK_rep1	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Order	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	0.0	0.0	2	OS_16S_DAK_rep1	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Phylum	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	3.0	0.0327296530656775	1	OS_16S_DAK_rep1	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Species	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	38.0	0.41457560549858175	39	OS_16S_DAK_rep1	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
weak affiliation	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	7.0	0.07636919048658085	9	OS_16S_DAK_rep1	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Class	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	1.0	0.0027701598382226657	1	OS_16S_SEDH_rep1	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Family	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	73.0	0.20222166819025458	18	OS_16S_SEDH_rep1	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Genus	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	35856.0	99.3268511593119	107	OS_16S_SEDH_rep1	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Order	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	0.0	0.0	2	OS_16S_SEDH_rep1	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Phylum	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	1.0	0.0027701598382226657	1	OS_16S_SEDH_rep1	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Species	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	156.0	0.4321449347627358	39	OS_16S_SEDH_rep1	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
weak affiliation	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	12.0	0.033241918058671986	9	OS_16S_SEDH_rep1	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Class	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	0.0	0.0	1	OS_16S_SEDH_rep2	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Family	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	24.0	0.08038046754638623	18	OS_16S_SEDH_rep2	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Genus	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	29758.0	99.66508138522339	107	OS_16S_SEDH_rep2	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Order	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	4.0	0.013396744591064371	2	OS_16S_SEDH_rep2	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Phylum	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	4.0	0.013396744591064371	1	OS_16S_SEDH_rep2	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Species	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	61.0	0.20430035501373167	39	OS_16S_SEDH_rep2	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
weak affiliation	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	7.0	0.023444303034362648	9	OS_16S_SEDH_rep2	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Class	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	3.0	0.007490823740917376	1	OS_16S_SEDH_rep3	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Family	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	42.0	0.10487153237284327	18	OS_16S_SEDH_rep3	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Genus	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	39847.0	99.49561786811155	107	OS_16S_SEDH_rep3	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Order	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	7.0	0.017478588728807212	2	OS_16S_SEDH_rep3	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Phylum	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	14.0	0.034957177457614425	1	OS_16S_SEDH_rep3	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
Species	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	120.0	0.299632949636695	39	OS_16S_SEDH_rep3	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
weak affiliation	16S	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv	16.0	0.03995105995155934	9	OS_16S_SEDH_rep3	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_16S_affi_tables_merged.tsv
