Taxonomic rank	region	name	sample_sum	abundance	observation_name	sample	n
Genus	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv	0.0	0.0	1	OS_rpoB_DAK_rep1	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv
Species	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv	20395.0	100.0	55	OS_rpoB_DAK_rep1	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv
weak affiliation	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv	0.0	0.0	57	OS_rpoB_DAK_rep1	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv
Genus	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv	0.0	0.0	1	OS_rpoB_SEDH_rep1	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv
Species	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv	84759.0	79.32076813655762	55	OS_rpoB_SEDH_rep1	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv
weak affiliation	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv	22097.0	20.67923186344239	57	OS_rpoB_SEDH_rep1	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv
Genus	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv	0.0	0.0	1	OS_rpoB_SEDH_rep2	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv
Species	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv	8087.0	93.2326492967489	55	OS_rpoB_SEDH_rep2	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv
weak affiliation	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv	587.0	6.767350703251095	57	OS_rpoB_SEDH_rep2	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv
Genus	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv	0.0	0.0	1	OS_rpoB_SEDH_rep3	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv
Species	rpoB	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv	78435.0	83.80255355521128	55	OS_rpoB_SEDH_rep3	/home/gpascal/work/RPOB/RESULTS97perc/OralSecretions_rpoB_affi_tables_merged.tsv
